Organization short name,Geocode,Geolocated Country,Coordinates,Latitude,Longitude,Availability zones,Number of facilities,Year of commissioning,Investment,Renewable,Renewable strategy
AWS,CHN,China,"(39.904211, 116.407395)",39.904211,116.407395,3,3,,,,
Digital Realty,"USA, GA",United States,"(33.748752, -84.38768449999999)",33.748752,-84.38768449999999,,3,,,,
Digital Realty,"USA, TX",United States,"(30.267153, -97.7430608)",30.267153,-97.7430608,,1,,,,
Digital Realty,"USA, MA",United States,"(42.3600825, -71.0588801)",42.3600825,-71.0588801,,3,,,,
Digital Realty,"USA, NC",United States,"(35.2270869, -80.8431267)",35.2270869,-80.8431267,,1,,,,
Digital Realty,"USA, IL",United States,"(41.8781136, -87.6297982)",41.8781136,-87.6297982,,9,,,,
Digital Realty,"USA, TX",United States,"(32.7766642, -96.79698789999999)",32.7766642,-96.79698789999999,,13,,,,
Digital Realty,BRA,Brazil,"(-3.7327203, -38.5270134)",-3.7327203,-38.5270134,,1,,,,
Digital Realty,"USA, TX",United States,"(29.7604267, -95.3698028)",29.7604267,-95.3698028,,1,,,,
Digital Realty,"USA, CA",United States,"(34.0549076, -118.242643)",34.0549076,-118.242643,,4,,,,
Digital Realty,"USA, FL",United States,"(25.7616798, -80.1917902)",25.7616798,-80.1917902,,1,,,,
Digital Realty,"USA, NY",United States,"(40.7127753, -74.0059728)",40.7127753,-74.0059728,,8,,,,
Digital Realty,"USA, VA",United States,"(38.8050552, -77.04698619999999)",38.8050552,-77.04698619999999,,16,,,,
Digital Realty,"USA, AZ",United States,"(33.4483771, -112.0740373)",33.4483771,-112.0740373,,2,,,,
Digital Realty,"USA, OR",United States,"(45.515232, -122.6783853)",45.515232,-122.6783853,,2,,,,
Digital Realty,MEX,Mexico,"(20.5887932, -100.3898881)",20.5887932,-100.3898881,,3,,,,
Digital Realty,BRA,Brazil,"(-22.9068467, -43.1728965)",-22.9068467,-43.1728965,,2,,,,
Digital Realty,CHL,Chile,"(-33.4488897, -70.6692655)",-33.4488897,-70.6692655,,3,,,,
Digital Realty,BRA,Brazil,"(-23.5557714, -46.6395571)",-23.5557714,-46.6395571,,23,,,,
Digital Realty,"USA, WA",United States,"(47.6061389, -122.3328481)",47.6061389,-122.3328481,,1,,,,
Digital Realty,"USA, CA",United States,"(37.387474, -122.0575434)",37.387474,-122.0575434,,15,,,,
Digital Realty,CAN,Canada,"(43.653226, -79.3831843)",43.653226,-79.3831843,,3,,,,
Digital Realty,COL,Colombia,"(4.710988599999999, -74.072092)",4.710988599999999,-74.072092,,2,,,,
Digital Realty,HKG,China,"(22.3193039, 114.1693611)",22.3193039,114.1693611,,2,,,,
Digital Realty,AUS,Australia,"(-37.8136276, 144.9630576)",-37.8136276,144.9630576,,1,,,,
Digital Realty,JPN,Japan,"(34.6937249, 135.5022535)",34.6937249,135.5022535,,4,,,,
Digital Realty,KOR,South Korea,"(37.5518911, 126.9917937)",37.5518911,126.9917937,,1,,,,
Digital Realty,SGP,Singapore,"(1.352083, 103.819836)",1.352083,103.819836,,3,,,,
Digital Realty,AUS,Australia,"(-33.8688197, 151.2092955)",-33.8688197,151.2092955,,2,,,,
Digital Realty,JPN,Japan,"(35.6764225, 139.650027)",35.6764225,139.650027,,3,,,,
Digital Realty,IND,India,"(13.0826802, 80.2707184)",13.0826802,80.2707184,,1,,,,
Digital Realty,NGA,Nigeria,"(9.0562646, 7.4985259)",9.0562646,7.4985259,,1,,,,
Digital Realty,NLD,Netherlands,"(52.3675734, 4.9041389)",52.3675734,4.9041389,,11,,,,
Digital Realty,GRC,Greece,"(37.9838096, 23.7275388)",37.9838096,23.7275388,,2,,,,
Digital Realty,BEL,Belgium,"(50.8476424, 4.3571696)",50.8476424,4.3571696,,3,,,,
Digital Realty,DNK,Denmark,"(55.6760968, 12.5683371)",55.6760968,12.5683371,,4,,,,
Digital Realty,IRL,Ireland,"(53.3498053, -6.2603097)",53.3498053,-6.2603097,,9,,,,
Digital Realty,DEU,Germany,"(51.2230411, 6.7824545)",51.2230411,6.7824545,,3,,,,
Digital Realty,DEU,Germany,"(50.1109221, 8.6821267)",50.1109221,8.6821267,,23,,,,
Digital Realty,NGA,Nigeria,"(6.5243793, 3.3792057)",6.5243793,3.3792057,,2,,,,
